"ind" "pop" "Latitude" "Longitude"
"103" "401.bam" "Coffin Patch" 24.68192 -80.96992
"104" "402.bam" "Coffin Patch" 24.68192 -80.96992
"105" "404.bam" "Coffin Patch" 24.68192 -80.96992
"106" "406.bam" "Sombrero Key" 24.69467 -81.11673
"107" "407.bam" "Sombrero Key" 24.69467 -81.11673
"108" "40.bam" "DT.1 (Shallow)" 24.70151 -82.80442
"109" "41.bam" "Hospital Key" 24.64145 -82.86051
"110" "420.bam" "Tennessee Deep" 24.75395 -80.75471
"111" "422.bam" "Tennessee Deep" 24.75395 -80.75471
"112" "424.bam" "Tennessee Deep" 24.75395 -80.75471
"113" "42.bam" "Hospital Key" 24.64145 -82.86051
"114" "430.bam" "Alligator Shallow" 24.84414 -80.62744
"115" "431.bam" "Alligator Shallow" 24.84414 -80.62744
"116" "432.bam" "Alligator Shallow" 24.84414 -80.62744
"117" "434.bam" "Alligator Shallow" 24.84414 -80.62744
"118" "436.bam" "Tennessee Shallow" 24.76401 -80.75841
"119" "437.bam" "Tennessee Shallow" 24.76401 -80.75841
"120" "438.bam" "Tennessee Shallow" 24.76401 -80.75841
"121" "439.bam" "Tennessee Shallow" 24.76401 -80.75841
"122" "43.bam" "Hospital Key" 24.64145 -82.86051
"123" "440.bam" "Tennessee Shallow" 24.76401 -80.75841
"124" "441.bam" "Alligator Deep" 24.83974 -80.62613
"125" "442.bam" "Alligator Deep" 24.83974 -80.62613
"126" "443.bam" "Alligator Deep" 24.83974 -80.62613
"127" "444.bam" "Alligator Deep" 24.83974 -80.62613
"128" "44.bam" "Hospital Key" 24.64145 -82.86051
"129" "451.bam" "Cheeca Rocks" 24.90066 -80.62305
"130" "452.bam" "Cheeca Rocks" 24.90066 -80.62305
"131" "453.bam" "Cheeca Rocks" 24.90066 -80.62305
"132" "454.bam" "Cheeca Rocks" 24.90066 -80.62305
"133" "455.bam" "Cheeca Rocks" 24.90066 -80.62305
"134" "45.bam" "Hospital Key" 24.64145 -82.86051
"135" "466.bam" "Runway Deep" 24.88458 -80.55431
"136" "468.bam" "Runway Deep" 24.88458 -80.55431
"137" "469.bam" "Runway Deep" 24.88458 -80.55431
"138" "470.bam" "Runway Deep" 24.88458 -80.55431
"139" "471.bam" "The Rocks" 24.94831 -80.5541
"140" "472.bam" "The Rocks" 24.94831 -80.5541
"141" "473.bam" "The Rocks" 24.94831 -80.5541
"142" "474.bam" "The Rocks" 24.94831 -80.5541
"143" "492.bam" "Hens and Chickens" 24.93435 -80.55316
"144" "493.bam" "Hens and Chickens" 24.93435 -80.55316
"145" "494.bam" "Hens and Chickens" 24.93435 -80.55316
"146" "500.bam" "Davis Deep" 24.91849 -80.50827
"147" "502.bam" "Davis Deep" 24.91849 -80.50827
"148" "503.bam" "Davis Deep" 24.91849 -80.50827
"149" "515_1.bam" "Pickles Reef" 24.97854 -80.42764
"150" "515.bam" "Conch Reef" 24.94411 -80.46118
"151" "517_1.bam" "Pickles Reef" 24.97854 -80.42764
"152" "517.bam" "Conch Reef" 24.94411 -80.46118
"153" "518_1.bam" "Pickles Reef" 24.97854 -80.42764
"154" "518.bam" "Conch Reef" 24.94411 -80.46118
"155" "519.bam" "Conch Reef" 24.94411 -80.46118
"156" "530.bam" "Molasses Deep" 25.00401 -80.38106
"157" "531.bam" "Molasses Deep" 25.00401 -80.38106
"158" "532.bam" "Molasses Deep" 25.00401 -80.38106
"159" "540.bam" "Molasses Shallow" 25.00609 -80.38197
"160" "541.bam" "Molasses Shallow" 25.00609 -80.38197
"161" "543.bam" "Molasses Shallow" 25.00609 -80.38197
"162" "544.bam" "Molasses Shallow" 25.00609 -80.38197
"163" "546.bam" "Triangles" 25.00864 -80.43298
"164" "547.bam" "Triangles" 25.00864 -80.43298
"165" "548.bam" "Triangles" 25.00864 -80.43298
"166" "549.bam" "Triangles" 25.00864 -80.43298
"167" "555.bam" "White Bank Rocks" 25.03575 -80.37904
"168" "557.bam" "White Bank Rocks" 25.03575 -80.37904
"169" "558.bam" "White Bank Rocks" 25.03575 -80.37904
"170" "559.bam" "White Bank Rocks" 25.03575 -80.37904
"171" "55.bam" "DT.Pinnacle" 24.67583 -83.04236
"172" "565.bam" "Mosquito Bank" 25.07595 -80.39043
"173" "566.bam" "Mosquito Bank" 25.07595 -80.39043
"174" "567.bam" "Mosquito Bank" 25.07595 -80.39043
"175" "568.bam" "Mosquito Bank" 25.07595 -80.39043
"176" "569.bam" "Mosquito Bank" 25.07595 -80.39043
"177" "56.bam" "DT.Pinnacle" 24.67583 -83.04236
"178" "57.bam" "DT.Pinnacle" 24.67583 -83.04236
"179" "581.bam" "SS Benwood" 25.04961 -80.33807
"180" "582.bam" "SS Benwood" 25.04961 -80.33807
"181" "583.bam" "SS Benwood" 25.04961 -80.33807
"182" "584.bam" "SS Benwood" 25.04961 -80.33807
"183" "58.bam" "DT.Pinnacle" 24.67583 -83.04236
"184" "595.bam" "Cannon Patch" 25.10867 -80.34782
"185" "596.bam" "Cannon Patch" 25.10867 -80.34782
"186" "597.bam" "Cannon Patch" 25.10867 -80.34782
"187" "598.bam" "Cannon Patch" 25.10867 -80.34782
"188" "599.bam" "Cannon Patch" 25.10867 -80.34782
"189" "59.bam" "DT.Pinnacle" 24.67583 -83.04236
"190" "600.bam" "Grecian Rocks" 25.10957 -80.30583
"191" "601.bam" "Grecian Rocks" 25.10957 -80.30583
"192" "603.bam" "Grecian Rocks" 25.10957 -80.30583
"193" "604.bam" "Grecian Rocks" 25.10957 -80.30583
"194" "609.bam" "Higdons Reef" 25.13801 -80.31858
"195" "615.bam" "Elbow Deep" 25.14278 -80.25759
"196" "616.bam" "Elbow Deep" 25.14278 -80.25759
"197" "617.bam" "Elbow Deep" 25.14278 -80.25759
"198" "618.bam" "Elbow Deep" 25.14278 -80.25759
"199" "619.bam" "Elbow Deep" 25.14278 -80.25759
"200" "620.bam" "Higdons Reef" 25.13801 -80.31858
"201" "621.bam" "Higdons Reef" 25.13801 -80.31858
"202" "622.bam" "Higdons Reef" 25.13801 -80.31858
"203" "623.bam" "Higdons Reef" 25.13801 -80.31858
"204" "624.bam" "Higdons Reef" 25.13801 -80.31858
"205" "630.bam" "Elbow Shallow" 25.14314 -80.26177
"206" "632.bam" "Elbow Shallow" 25.14314 -80.26177
"207" "633.bam" "Elbow Shallow" 25.14314 -80.26177
"208" "634.bam" "Elbow Shallow" 25.14314 -80.26177
"209" "645.bam" "Carysfort Shallow" 25.21649 -80.21662
