"","indigo","yellow","blue","Sample"
"1",0.866299159471996,0.0288452831091949,0.10485555741881,"106.bam"
"2",9.9999999999e-10,0.133517083442545,0.866482915557455,"110.bam"
"3",9.9999999999e-10,0.588818918523227,0.411181080476773,"11.bam"
"4",0.0865588638925913,0.205986422184417,0.707454713922992,"123.bam"
"5",0.00172581623526607,0.24320796005057,0.755066223714164,"124.bam"
"6",0.105183827347865,0.261363642048481,0.633452530603654,"125.bam"
"7",0.23200897836856,0.119885031663612,0.648105989967828,"12.bam"
"8",0.000176969441931624,0.501106705525434,0.498716325032634,"13.bam"
"9",0.0533713989306975,0.351910478831535,0.594718122237767,"141.bam"
"10",0.152165547264624,0.391778501396562,0.456055951338814,"143.bam"
"11",0.127829182185878,0.485389665417116,0.386781152397006,"144.bam"
"12",0.160249409160083,0.534958276932525,0.304792313907393,"145.bam"
"13",0.162649524426205,0.381101128524944,0.456249347048851,"147.bam"
"14",0.068640549186544,0.43833708187953,0.493022368933926,"148.bam"
"15",9.9999999999e-10,0.392537320017185,0.607462678982815,"14.bam"
"16",0.0234170708297024,0.286410201199861,0.690172727970437,"150.bam"
"17",0.0831063245018849,9.9999999999e-10,0.916893674498115,"151.bam"
"18",0.238928001953926,0.153382327790599,0.607689670255475,"153.bam"
"19",0.142447961256459,0.0129655884149387,0.844586450328602,"155.bam"
"20",0.0359960736922682,0.700654725283591,0.26334920102414,"15.bam"
"21",0.0145028651517269,0.0185628529555421,0.966934281892731,"161.bam"
"22",0.106792496419169,0.102320200596516,0.790887302984315,"162.bam"
"23",0.535310704635577,1e-09,0.464689294364423,"163.bam"
"24",0.110102948146885,0.212143416196268,0.677753635656847,"164.bam"
"25",0.0267907389006902,0.073553374107303,0.899655886992007,"165.bam"
"26",0.019865366349088,0.800766616879179,0.179368016771733,"180.bam"
"27",0.0197368357116455,0.806195773422577,0.174067390865777,"181.bam"
"28",9.9999999999e-10,0.991330083844827,0.00866991515517333,"182.bam"
"29",9.9999999999e-10,0.967215310746612,0.0327846882533877,"183.bam"
"30",9.9999999999e-10,0.997886739866502,0.00211325913349823,"184.bam"
"31",0.0263157456749784,0.76496382744774,0.208720426877282,"206.bam"
"32",0.069996507249056,0.763362677207867,0.166640815543077,"207.bam"
"33",9.9999999998e-10,0.999999998,9.9999999998e-10,"208.bam"
"34",0.00833726456893821,0.991662734431062,9.9999999999e-10,"209.bam"
"35",9.9999999998e-10,0.999999998,9.9999999998e-10,"210.bam"
"36",0.236263139332823,0.105799004665771,0.657937856001407,"21.bam"
"37",0.943251445361283,1e-09,0.056748553638717,"231.bam"
"38",0.645233434596128,0.135444887302514,0.219321678101358,"233.bam"
"39",0.999999998,9.9999999999e-10,9.9999999999e-10,"234.bam"
"40",0.524942009904676,9.9999999999e-10,0.475057989095324,"235.bam"
"41",0.306219297213148,0.432034650127331,0.26174605265952,"236.bam"
"42",0.949886157008555,9.9999999999e-10,0.0501138419914452,"238.bam"
"43",0.971864258493165,9.9999999998e-10,0.0281357405068347,"240.bam"
"44",1e-09,0.976581411255172,0.0234185877448277,"261.bam"
"45",0.0506159373931519,0.903521709844604,0.0458623527622445,"263.bam"
"46",0.00709421387870541,0.528690493922437,0.464215292198857,"267.bam"
"47",1e-09,0.230131527549385,0.769868471450615,"268.bam"
"48",0.409101918846303,0.245204129403946,0.345693951749751,"269.bam"
"49",0.0916954735375484,0.134212299652925,0.774092226809527,"274.bam"
"50",0.014159555763709,0.664839462323107,0.321000981913184,"281.bam"
"51",0.0226616771213654,0.977338321878635,1e-09,"282.bam"
"52",1e-09,0.945807044398467,0.0541929546015326,"283.bam"
"53",0.107655244164094,0.192145749155965,0.700199006679941,"284.bam"
